CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECIESID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
9990047;Temn_nyla;Temn_nyla;scientific;soil;NA;545190;190505;NA;8;545852.5829;190327.0701;595.2;ForetFeuillus;NA;NA;NA;NA;TS;Temnothorax;Temn_nyla;2019;oui (Salata);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;2;5;2;801;822;3171;65526;2233;-360;2593;434;360;1616;139;118188;11289;8402;829;31798;26004;29958;29772
16846;Temn_nyla;Temn_nyla;public;NA;NA;NA;NA;Mont-la-Ville;20;521931;166111;741;ForetFeuillus;NA;NA;NA;5;Tanja Schwander;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9992334;Temn_nyla;Temn_nyla;scientific;soil;NA;545190;190509;NA;4;545411.004;190240.0673;611.5;ForetFeuillus;NA;2;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;3;3;3;2;797;820;3174;65313;2225;-360;2585;432;355;1609;137;120671;11582;8568;824;32535;26633;30467;30581
9990214;Temn_nyla;Temn_nyla;scientific;soil;NA;539158;130602;NA;4;539486.7806;158477.5006;772.9;ForetMixe;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;3;0;4;1;963;728;2915;66067;2366;-130;2496;1605;513;1789;296;125241;12339;7287;1525;34688;25404;34127;27761
9991488;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380403;NA;7;503421.419;142338.3695;622.1;ForetConifere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.1;3;2;4;2;847;788;3101;65255;2282;-258;2540;481;399;1665;192;122171;12712;8311;1329;36139;27264;27387;33506
9992502;Temn_nyla;Temn_nyla;scientific;soil;NA;545190;190504;NA;10;545806.02;190377.0791;612.8;ForetFeuillus;NA;1;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;4;2;789;820;3173;65287;2215;-370;2585;425;346;1601;130;118436;11319;8416;830;31880;26062;30006;29858
9992138;Temn_nyla;Temn_nyla;scientific;soil;NA;563190;160501;NA;11;563731.4322;189900.745;440.6;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0.1;4;3;0.1;0;990;869;3183;69311;2533;-197;2730;1852;560;1852;276;95191;9597;5445;1766;27822;19367;27822;20069
9991199;Temn_nyla;Temn_nyla;scientific;soil;NA;569198;170901;NA;16;569170.9526;197939.4889;551;lisiere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;3;2;2;1;990;786;2981;68802;2474;-162;2636;1846;558;1846;285;101533;10510;5940;1676;29652;20853;29652;21915
9993306;Temn_nyla;Temn_nyla;scientific;soil;NA;557150;100903;NA;5;557276.9763;150075.152;710.5;lisiere;2;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;2;4;1;941;785;3082;65663;2355;-193;2548;1580;497;1760;279;151507;14956;9674;1325;43077;32729;42953;33480
9991169;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380403;NA;14;503420.7198;142344.0355;622.1;ForetConifere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.1;3;2;4;2;847;788;3101;65255;2282;-258;2540;481;399;1665;192;122171;12712;8311;1329;36139;27264;27387;33506
9991730;Temn_nyla;Temn_nyla;scientific;soil;NA;569198;170402;NA;11;569046.4844;198478.7994;557.5;ForetConifere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;4;2;3;2;993;783;2972;68807;2476;-159;2635;1849;561;1849;288;100399;10286;5918;1649;29198;20515;29198;21830
9991128;Temn_nyla;Temn_nyla;scientific;soil;NA;545190;190501;NA;10;545832.5214;190534.2696;648.2;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;3;3;1;751;815;3180;64652;2159;-405;2564;397;306;1555;100;117611;11222;8359;833;31640;25847;29840;28710
7643C;Temn_nyla;Temn_nyla;public;NA;non;NA;NA;Grandson;1;539937;184803;437;ZoneConstruite;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9991477;Temn_nyla;Temn_nyla;scientific;soil;NA;545150;120601;NA;9;545159.952;150786.038;740;ForetMixe;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;2;2;5;1;957;732;2935;65867;2359;-136;2495;1597;508;1780;294;123056;12094;7352;1597;34105;25210;33985;26935
9990321;Temn_nyla;Temn_nyla;scientific;soil;NA;545190;190510;NA;7;545168.2371;190457.5049;694;ForetFeuillus;2;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;3;2;4;1;737;812;3185;64251;2137;-413;2550;388;290;1537;88;122842;11835;8723;818;33145;27211;30915;30323
9991125;Temn_nyla;Temn_nyla;scientific;soil;NA;527158;270501;NA;8;527670.852;158828.2304;503.7;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.1;3;1;5;0.1;1045;723;2858;67073;2468;-62;2530;1701;603;1883;365;97411;9650;6387;1354;26629;19924;25769;22768
9991110;Temn_nyla;Temn_nyla;scientific;soil;NA;545182;180901;NA;7;545054.1849;182418.2802;474.2;lisiere;NA;NA;NA;NA;TS;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;3;2;3;1;980;836;3124;68265;2483;-192;2675;1763;551;1828;279;94583;9166;5564;1647;27062;18683;26922;20623
9991451;Temn_nyla;Temn_nyla;scientific;soil;NA;521174;290604;NA;9;521910.465;174730.7073;661.9;ForetMixe;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.1;2;3;4;3;772;805;3105;65662;2178;-415;2593;412;1532;1585;111;148574;15017;10654;1004;41519;33368;34285;39938
9992327;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380404;NA;9;503814.0867;142131.2735;598;ForetConifere;1;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;0;3;3;5;876;796;3107;65680;2324;-236;2560;504;430;1698;215;118127;12263;7997;1333;34942;26270;26552;32327
11210;Temn_nyla;Temn_nyla;public;NA;non;NA;NA;Vully-les-Lacs;10;568245;195036;431;Autre;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9990333;Temn_nyla;Temn_nyla;scientific;soil;NA;545182;180401;NA;8;545177.7344;181914.8882;477.6;ForetConifere;NA;NA;NA;NA;TS;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;3;3;3;2;976;836;3126;68221;2479;-195;2674;1759;548;1824;276;94968;9210;5581;1650;27185;18756;27046;20705
9992314;Temn_nyla;Temn_nyla;scientific;soil;NA;545190;190602;NA;9;545062.9169;190424.2944;690.5;ForetMixe;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;3;3;2;2;742;813;3185;64320;2145;-408;2553;392;295;1543;93;124179;11989;8817;816;33524;27560;31193;30732
9990889;Temn_nyla;Temn_nyla;scientific;soil;NA;569198;170501;NA;NA;569607.6011;197987.9503;495.6;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;3;3;0.1;1000;796;3004;68947;2492;-158;2650;1858;568;1858;292;101831;10578;5954;1679;29761;20938;29761;21969
9990584;Temn_nyla;Temn_nyla;scientific;soil;NA;509150;330601;NA;9;509916.033;150694.6739;953.7;ForetMixe;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1;3;3;2;3;2;720;750;3061;63368;2086;-363;2449;382;262;1515;80;129381;13430;8913;1231;37652;28876;29552;33393
9990799;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380501;NA;10;503395.7012;142432.5683;633.2;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1;0.1;3;3;3;2;836;785;3100;65086;2265;-267;2532;472;387;1651;183;122744;12771;8358;1327;36302;27404;27513;33665
2073;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Dizy;11;527589;165623;590;transport;2;1;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9990804;Temn_nyla;Temn_nyla;scientific;soil;NA;521150;320901;NA;9;521127.3398;149952.5775;491.3;lisiere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;1;3;0.1;1024;764;2963;67267;2479;-98;2577;633;582;1866;343;107301;10451;7578;1052;29170;23305;26815;26516
5640;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);1;533921;152800;400;ForetFeuillus;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17054;Temn_nyla;Temn_nyla;public;NA;NA;NA;NA;Mont-la-Ville;7;522000;166066;735;ForetFeuillus;1;0;NA;10;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9990964;Temn_nyla;Temn_nyla;scientific;soil;NA;557134;60402;NA;12;557825.9943;134738.0863;376.8;ForetConifere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;4;1;3;2;1034;850;3200;66736;2487;-170;2657;1863;610;1863;352;109721;11677;6703;1867;34447;22214;34447;23233
9990578;Temn_nyla;Temn_nyla;scientific;soil;NA;509150;330501;NA;9;509877.5706;150604.9894;954.5;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;4;2;3;1;724;750;3062;63394;2092;-358;2450;386;266;1520;84;127848;13274;8813;1235;37227;28506;29196;32967
2077;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Dizy;18;527589;165632;590;transport;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9990942;Temn_nyla;Temn_nyla;scientific;soil;NA;521166;280501;NA;22;521926.4635;165932.3966;734.8;ForetFeuillus;1;NA;NA;10;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;2;2;5;1;824;770;3041;65260;2225;-307;2532;463;375;1638;168;129834;12980;9451;962;36245;29222;31001;32751
9991073;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380510;NA;6;503418.1955;142004.7494;599.5;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;5;5;2;868;793;3104;65590;2313;-242;2555;498;422;1690;209;120448;12536;8166;1338;35657;26856;26994;33046
9991531;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380503;NA;14;503088.3575;142694.1146;676.3;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.1;3;2;5;2;804;775;3093;64559;2216;-290;2506;447;1613;1613;157;129058;13408;8872;1304;38075;28918;28918;33459
16103;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ollon;6;562785;127058;386;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2020;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;Temn_nyla;Temn_nyla;public;NA;non;NA;NA;Trélex;1;503563;141694;572;ForetConifere;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3545;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Crissier;14;534424;156342;490;transport;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5666;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);7;533886;152630;402;ZoneConstruite;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1917;Temn_nyla;Temn_nyla;public;NA;non;NA;NA;Ollon;1;565057;128169;630;ForetFeuillus;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2047;Temn_nyla;Temn_nyla;public;NA;non;NA;NA;Allaman;3;519874;146483;379;zalluviale;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5621;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);8;533921;152800;400;ForetFeuillus;1;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9992688;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380403;NA;6;503417.5029;142339.7231;622.1;ForetConifere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.1;3;2;4;2;847;788;3101;65255;2282;-258;2540;481;399;1665;192;122171;12712;8311;1329;36139;27264;27387;33506
5629;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ferreyres;12;526316;168814;620;ForetMixe;1;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9991270;Temn_nyla;Temn_nyla;scientific;soil;NA;521150;320901;NA;9;521122.2316;149950.5951;493.9;lisiere;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;1;3;0.1;1024;764;2963;67267;2479;-98;2577;633;582;1866;343;107301;10451;7578;1052;29170;23305;26815;26516
2020;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Montreux;20;560155;142641;459;lisiere;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5560;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);1;533921;152800;400;ForetFeuillus;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10318;Temn_nyla;Temn_nyla;public;NA;non;NA;NA;Gingins;8;501891;141374;654;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5553;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ferreyres;1;525916;168864;639;ForetFeuillus;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5573;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);15;533921;152800;400;ForetFeuillus;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9992151;Temn_nyla;Temn_nyla;scientific;soil;NA;551158;110601;NA;2;551113.388;158018.1778;663.2;ForetMixe;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;3;2;3;1;959;801;3088;66919;2412;-183;2595;1611;515;1792;280;122969;12128;7725;1376;34197;25807;33914;27430
9990894;Temn_nyla;Temn_nyla;scientific;tree;NA;563190;160116;NA;5;562975.1458;190844.1321;440.3;Autre;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;1;3;2;1;988;867;3178;69295;2530;-198;2728;1850;558;1850;275;96113;9669;5504;1747;28012;19606;28012;20319
3197;Temn_nyla;Temn_nyla;public;NA;oui;NA;NA;Yverdon-les-Bains;11;539690;180308;438;ZoneConstruite;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_nyla;2019;oui;Temn_nyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9991382;Temn_nyla;Temn_nyla;scientific;soil;NA;503142;380509;NA;5;503923.0722;142238.7158;609.3;ForetFeuillus;NA;NA;NA;NA;Salata;Temnothorax;Temn_nyla;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0;4;5;0;874;796;3110;65660;2322;-237;2559;502;428;1696;214;117589;12191;7962;1328;34762;26126;26467;32140
